"Four-Year Graduation Rates, 2018-19"
"All Districts, All Students"

"",,,"Graduates",
"District","District Code","Four-Year Cohort Count","Graduation Count","Graduation Rate"
"Achievement First Bridgeport Academy District","=""2850013""",47,41,87.2
"Achievement First Hartford Academy District","=""2880013""",32,31,96.9
"Amistad Academy District","=""2790013""",53,43,81.1
"Ansonia School District","=""0020011""",181,157,86.7
"Avon School District","=""0040011""",224,212,94.6
"Berlin School District","=""0070011""",233,229,98.3
"Bethel School District","=""0090011""",237,224,94.5
"Bloomfield School District","=""0110011""",161,140,87.0
"Bolton School District","=""0120011""",67,61,91.0
"Branford School District","=""0140011""",228,200,87.7
"Bridgeport School District","=""0150011""",1457,1108,76.0
"Bristol School District","=""0170011""",632,545,86.2
"Brookfield School District","=""0180011""",217,204,94.0
"Canton School District","=""0230011""",124,118,95.2
"Capital Preparatory Harbor School District","=""2970013""",31,21,67.7
"Capitol Region Education Council","=""2410014""",505,469,92.9
"Cheshire School District","=""0250011""",375,366,97.6
"Clinton School District","=""0270011""",144,138,95.8
"Colchester School District","=""0280011""",195,176,90.3
"Common Ground High School District","=""2680013""",47,43,91.5
"Connecticut Technical Education and Career System","=""9000016""",2339,2274,97.2
"Coventry School District","=""0320011""",107,102,95.3
"Cromwell School District","=""0330011""",133,126,94.7
"Danbury School District","=""0340011""",790,627,79.4
"Darien School District","=""0350011""",335,328,97.9
"Department of Mental Health and Addiction Services","=""3370015""",6,"*","*"
"Derby School District","=""0370011""",84,63,75.0
"East Granby School District","=""0400011""",72,72,100.0
"East Haddam School District","=""0410011""",75,73,97.3
"East Hampton School District","=""0420011""",131,126,96.2
"East Hartford School District","=""0430011""",561,495,88.2
"East Haven School District","=""0440011""",235,183,77.9
"East Lyme School District","=""0450011""",258,238,92.2
"East Windsor School District","=""0470011""",77,67,87.0
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",73,47,64.4
"Ellington School District","=""0480011""",201,196,97.5
"Elm City College Preparatory School District","=""2890013""",30,22,73.3
"Enfield School District","=""0490011""",369,324,87.8
"Explorations District","=""2720013""",31,26,83.9
"Fairfield School District","=""0510011""",786,752,95.7
"Farmington School District","=""0520011""",283,281,99.3
"Glastonbury School District","=""0540011""",513,505,98.4
"Granby School District","=""0560011""",172,169,98.3
"Greenwich School District","=""0570011""",682,653,95.7
"Griswold School District","=""0580011""",133,114,85.7
"Groton School District","=""0590011""",294,253,86.1
"Guilford School District","=""0600011""",266,261,98.1
"Hamden School District","=""0620011""",402,341,84.8
"Hartford School District","=""0640011""",1376,998,72.5
"Highville Charter School District","=""2860013""",13,12,"*"
"Jumoke Academy District","=""2610013""",16,13,"*"
"Killingly School District","=""0690011""",214,178,83.2
"Learn","=""2450014""",204,189,92.6
"Lebanon School District","=""0710011""",94,82,87.2
"Ledyard School District","=""0720011""",198,183,92.4
"Litchfield School District","=""0740011""",73,72,98.6
"Madison School District","=""0760011""",268,263,98.1
"Manchester School District","=""0770011""",482,396,82.2
"Meriden School District","=""0800011""",587,470,80.1
"Middletown School District","=""0830011""",341,313,91.8
"Milford School District","=""0840011""",458,424,92.6
"Monroe School District","=""0850011""",243,237,97.5
"Montville School District","=""0860011""",157,140,89.2
"Naugatuck School District","=""0880011""",308,264,85.7
"New Britain School District","=""0890011""",668,520,77.8
"New Canaan School District","=""0900011""",315,308,97.8
"New Fairfield School District","=""0910011""",222,218,98.2
"New Haven School District","=""0930011""",1462,1183,80.9
"New London School District","=""0950011""",272,216,79.4
"New Milford School District","=""0960011""",317,291,91.8
"Newington School District","=""0940011""",337,320,95.0
"Newtown School District","=""0970011""",409,395,96.6
"North Branford School District","=""0990011""",129,122,94.6
"North Haven School District","=""1010011""",256,241,94.1
"North Stonington School District","=""1020011""",46,42,91.3
"Norwalk School District","=""1030011""",861,778,90.4
"Norwich Free Academy District","=""9010022""",599,510,85.1
"Old Saybrook School District","=""1060011""",110,102,92.7
"Oxford School District","=""1080011""",162,157,96.9
"Plainfield School District","=""1090011""",171,136,79.5
