"Four-Year Graduation Rates, 2013-14"
"All Districts, All Students"

"",,"Graduates",,"Non-Graduates",,,
"District","Four-Year Cohort Count","Graduation Count","Graduation Rate","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District",23,19,82.6,"*","*","*","*"
"Ansonia School District",157,120,76.4,10,6.4,27,17.2
"Avon School District",272,265,97.4,"*","*","*","*"
"Berlin School District",235,223,94.9,"*","*","*","*"
"Bethel School District",244,226,92.6,12,4.9,6,2.5
"Bloomfield School District",169,148,87.6,14,8.3,7,4.1
"Bolton School District",103,97,94.2,"*","*","*","*"
"Branford School District",299,272,91.0,10,3.3,17,5.7
"Bridgeport School District",1247,892,71.5,117,9.4,238,19.1
"Bristol School District",699,572,81.8,63,9.0,64,9.2
"Brookfield School District",232,225,97.0,"*","*","*","*"
"Canton School District",136,128,94.1,"*","*","*","*"
"Capitol Region Education Council",317,281,88.6,7,2.2,29,9.1
"Cheshire School District",389,371,95.4,12,3.1,6,1.5
"Clinton School District",133,123,92.5,"*","*","*","*"
"Colchester School District",248,237,95.6,"*","*","*","*"
"Common Ground High School District",29,26,89.7,"*","*","*","*"
"Connecticut Technical High School System",2423,2329,96.1,25,1.0,69,2.8
"Coventry School District",133,128,96.2,"*","*","*","*"
"Cromwell School District",134,122,91.0,"*","*","*","*"
"Danbury School District",761,594,78.1,83,10.9,84,11.0
"Darien School District",336,325,96.7,"*","*","*","*"
"Department of Mental Health and Addiction Services","*","*","*","*","*","*","*"
"Derby School District",102,83,81.4,10,9.8,9,8.8
"East Granby School District",66,60,90.9,"*","*","*","*"
"East Haddam School District",105,98,93.3,"*","*","*","*"
"East Hampton School District",121,117,96.7,"*","*","*","*"
"East Hartford School District",507,397,78.3,59,11.6,51,10.1
"East Haven School District",260,210,80.8,11,4.2,39,15.0
"East Lyme School District",274,256,93.4,"*","*","*","*"
"East Windsor School District",109,97,89.0,"*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)",66,49,74.2,7,10.6,10,15.2
