"Four-Year Graduation Rates, 2012-13"
"All Districts, All Students"

"",,"Graduates",,"Non-Graduates",,,
"District","Four-Year Cohort Count","Graduation Count","Graduation Rate","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District",23,16,69.6,"*","*","*","*"
"Ansonia School District",212,160,75.5,25,11.8,27,12.7
"Avon School District",263,252,95.8,"*","*","*","*"
"Berlin School District",262,252,96.2,"*","*","*","*"
"Bethel School District",234,217,92.7,"*","*","*","*"
"Bloomfield School District",165,146,88.5,9,5.5,10,6.1
"Bolton School District",81,79,97.5,"*","*","*","*"
"Branford School District",271,250,92.3,9,3.3,12,4.4
"Bridgeport School District",1229,827,67.3,135,11.0,267,21.7
"Bristol School District",635,507,79.8,54,8.5,74,11.7
"Brookfield School District",242,232,95.9,"*","*","*","*"
"Canton School District",124,117,94.4,"*","*","*","*"
"Capitol Region Education Council",246,209,85.0,11,4.5,26,10.6
"Cheshire School District",384,362,94.3,16,4.2,6,1.6
"Clinton School District",145,128,88.3,10,6.9,7,4.8
"Colchester School District",253,236,93.3,"*","*","*","*"
"Common Ground High School District",38,34,89.5,"*","*","*","*"
"Connecticut Technical High School System",2483,2392,96.3,11,0.4,80,3.2
"Coventry School District",138,125,90.6,"*","*","*","*"
"Cromwell School District",145,133,91.7,"*","*","*","*"
"Danbury School District",779,588,75.5,101,13.0,90,11.6
"Darien School District",316,307,97.2,"*","*","*","*"
"Department of Mental Health and Addiction Services","*","*","*","*","*","*","*"
"Derby School District",91,59,64.8,20,22.0,12,13.2
"East Granby School District",71,67,94.4,"*","*","*","*"
"East Haddam School District",100,96,96.0,"*","*","*","*"
"East Hampton School District",132,127,96.2,"*","*","*","*"
"East Hartford School District",556,432,77.7,45,8.1,78,14.0
"East Haven School District",246,182,74.0,19,7.7,45,18.3
"East Lyme School District",311,293,94.2,"*","*","*","*"
"East Windsor School District",96,79,82.3,10,10.4,7,7.3
"Eastern Connecticut Regional Educational Service Center (EASTCONN)",69,54,78.3,6,8.7,9,13.0
"Ellington School District",198,182,91.9,9,4.5,7,3.5
"Elm City College Preparatory School District",13,8,61.5,"*","*","*","*"
"Enfield School District",445,389,87.4,20,4.5,36,8.1
"Explorations District",32,21,65.6,"*","*","*","*"
"Fairfield School District",708,656,92.7,37,5.2,15,2.1
"Farmington School District",326,310,95.1,10,3.1,6,1.8
"Glastonbury School District",552,536,97.1,8,1.4,7,1.3
"Granby School District",197,192,97.5,"*","*","*","*"
"Greenwich School District",691,655,94.8,26,3.8,10,1.4
"Griswold School District",170,148,87.1,9,5.3,13,7.6
"Groton School District",327,269,82.3,18,5.5,40,12.2
"Guilford School District",281,262,93.2,6,2.1,13,4.6
"Hamden School District",455,388,85.3,43,9.5,24,5.3
"Hartford School District",1418,1009,71.2,93,6.6,311,21.9
"Killingly School District",223,167,74.9,25,11.2,31,13.9
"Learn",43,35,81.4,"*","*","*","*"
"Lebanon School District",118,110,93.2,"*","*","*","*"
"Ledyard School District",232,208,89.7,13,5.6,11,4.7
"Lisbon School District",6,"*","*","*","*","*","*"
"Litchfield School District",88,87,98.9,"*","*","*","*"
"Madison School District",317,313,98.7,"*","*","*","*"
"Manchester School District",479,358,74.7,50,10.4,71,14.8
"Meriden School District",639,448,70.1,59,9.2,130,20.3
"Middletown School District",379,307,81.0,28,7.4,44,11.6
"Milford School District",525,446,85.0,62,11.8,17,3.2
"Monroe School District",309,300,97.1,"*","*","*","*"
"Montville School District",188,161,85.6,12,6.4,15,8.0
"Naugatuck School District",335,261,77.9,34,10.1,40,11.9
"New Britain School District",654,398,60.9,91,13.9,165,25.2
"New Canaan School District",339,331,97.6,"*","*","*","*"
"New Fairfield School District",258,247,95.7,"*","*","*","*"
"New Haven School District",1315,939,71.4,103,7.8,273,20.8
"New London School District",257,165,64.2,27,10.5,65,25.3
"New Milford School District",392,340,86.7,19,4.8,33,8.4
"Newington School District",376,339,90.2,16,4.3,21,5.6
"Newtown School District",471,443,94.1,"*","*","*","*"
"North Branford School District",170,163,95.9,"*","*","*","*"
"North Haven School District",314,275,87.6,18,5.7,21,6.7
"North Stonington School District",48,46,95.8,"*","*","*","*"
"Norwalk School District",780,661,84.7,35,4.5,84,10.8
"Norwich Free Academy District",615,499,81.1,53,8.6,63,10.2
"Old Saybrook School District",139,132,95.0,"*","*","*","*"
"Oxford School District",155,151,97.4,"*","*","*","*"
"Plainfield School District",203,172,84.7,19,9.4,12,5.9
"Plainville School District",206,183,88.8,11,5.3,12,5.8
"Plymouth School District",128,109,85.2,10,7.8,9,7.0
"Portland School District",93,80,86.0,"*","*","*","*"
"Putnam School District",96,74,77.1,16,16.7,6,6.3
"Regional School District 01",109,99,90.8,"*","*","*","*"
"Regional School District 04",163,155,95.1,"*","*","*","*"
"Regional School District 05",396,380,96.0,7,1.8,9,2.3
"Regional School District 06",97,93,95.9,"*","*","*","*"
"Regional School District 07",194,184,94.8,"*","*","*","*"
"Regional School District 08",285,262,91.9,14,4.9,9,3.2
"Regional School District 09",240,226,94.2,"*","*","*","*"
"Regional School District 10",198,183,92.4,9,4.5,6,3.0
"Regional School District 11",44,38,86.4,"*","*","*","*"
"Regional School District 12",91,78,85.7,"*","*","*","*"
"Regional School District 13",153,144,94.1,"*","*","*","*"
"Regional School District 14",201,187,93.0,"*","*","*","*"
"Regional School District 15",320,302,94.4,"*","*","*","*"
"Regional School District 16",186,166,89.2,9,4.8,11,5.9
"Regional School District 17",164,158,96.3,"*","*","*","*"
"Regional School District 18",114,108,94.7,"*","*","*","*"
"Regional School District 19",316,277,87.7,26,8.2,13,4.1
"Ridgefield School District",414,398,96.1,"*","*","*","*"
"Rocky Hill School District",177,159,89.8,11,6.2,7,4.0
"Seymour School District",181,155,85.6,13,7.2,13,7.2
"Shelton School District",394,355,90.1,22,5.6,17,4.3
"Simsbury School District",400,389,97.3,"*","*","*","*"
"Somers School District",146,141,96.6,"*","*","*","*"
"South Windsor School District",386,364,94.3,12,3.1,10,2.6
"Southington School District",490,446,91.0,23,4.7,21,4.3
"Stafford School District",129,112,86.8,7,5.4,10,7.8
"Stamford Academy District",37,10,27.0,21,56.8,6,16.2
"Stamford School District",1218,1083,88.9,55,4.5,80,6.6
"Stonington School District",202,192,95.0,"*","*","*","*"
"Stratford School District",569,504,88.6,31,5.4,34,6.0
"Suffield School District",220,204,92.7,8,3.6,8,3.6
"The Bridge Academy District",36,32,88.9,"*","*","*","*"
"The Gilbert School District",94,71,75.5,9,9.6,14,14.9
"Thomaston School District",80,73,91.3,"*","*","*","*"
"Thompson School District",87,78,89.7,"*","*","*","*"
"Tolland School District",244,229,93.9,"*","*","*","*"
"Torrington School District",278,235,84.5,25,9.0,18,6.5
"Trumbull School District",550,538,97.8,6,1.1,6,1.1
"Unified School District #1",372,"*","*","*","*",238,64.0
"Unified School District #2",63,12,19.0,15,23.8,36,57.1
"Vernon School District",242,197,81.4,14,5.8,31,12.8
"Wallingford School District",535,486,90.8,22,4.1,27,5.0
"Waterbury School District",1300,864,66.5,64,4.9,372,28.6
"Waterford School District",243,222,91.4,10,4.1,11,4.5
"Watertown School District",272,236,86.8,16,5.9,20,7.4
"West Hartford School District",835,778,93.2,24,2.9,33,4.0
