"Four-Year Graduation Rates, 2014-15"
"All Districts, All Students"

"",,"Non-Graduates",,,
"District","Four-Year Cohort Count","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District",29,"*","*","*","*"
"Ansonia School District",172,17,9.9,11,6.4
"Avon School District",248,"*","*","*","*"
"Berlin School District",210,7,3.3,6,2.9
"Bethel School District",218,"*","*","*","*"
"Bloomfield School District",176,12,6.8,10,5.7
"Bolton School District",76,"*","*","*","*"
"Branford School District",253,11,4.3,14,5.5
"Bridgeport Achievement First District",31,"*","*","*","*"
"Bridgeport School District",1188,140,11.8,293,24.7
"Bristol School District",647,40,6.2,81,12.5
"Brookfield School District",235,"*","*","*","*"
"Canton School District",132,"*","*","*","*"
"Capitol Region Education Council",323,14,4.3,17,5.3
"Cheshire School District",392,"*","*","*","*"
"Clinton School District",162,"*","*","*","*"
"Colchester School District",228,9,3.9,9,3.9
"Common Ground High School District",37,"*","*","*","*"
"Connecticut Technical High School System",2468,9,0.4,55,2.2
"Coventry School District",117,"*","*","*","*"
"Cromwell School District",128,"*","*","*","*"
"Danbury School District",772,80,10.4,97,12.6
"Darien School District",334,"*","*","*","*"
"Derby School District",102,8,7.8,9,8.8
"East Granby School District",61,"*","*","*","*"
"East Haddam School District",113,"*","*","*","*"
"East Hampton School District",127,"*","*","*","*"
"East Hartford School District",566,26,4.6,42,7.4
"East Haven School District",244,11,4.5,49,20.1
"East Lyme School District",274,8,2.9,6,2.2
"East Windsor School District",90,"*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)",72,7,9.7,11,15.3
"Ellington School District",206,"*","*","*","*"
"Elm City College Preparatory School District",14,"*","*","*","*"
"Enfield School District",392,15,3.8,37,9.4
"Explorations District",23,"*","*","*","*"
"Fairfield School District",717,24,3.3,17,2.4
"Farmington School District",335,8,2.4,6,1.8
"Glastonbury School District",524,"*","*","*","*"
"Granby School District",165,"*","*","*","*"
"Greenwich School District",647,24,3.7,7,1.1
"Griswold School District",148,7,4.7,10,6.8
"Groton School District",272,9,3.3,25,9.2
"Guilford School District",274,7,2.6,7,2.6
"Hamden School District",465,23,4.9,31,6.7
"Hartford School District",1484,172,11.6,271,18.3
"Killingly School District",203,21,10.3,26,12.8
"Learn",176,"*","*","*","*"
"Lebanon School District",95,"*","*","*","*"
"Ledyard School District",233,"*","*","*","*"
"Litchfield School District",70,"*","*","*","*"
"Madison School District",309,"*","*","*","*"
"Manchester School District",454,29,6.4,58,12.8
"Meriden School District",626,49,7.8,114,18.2
"Middletown School District",315,24,7.6,13,4.1
"Milford School District",459,27,5.9,15,3.3
"Monroe School District",321,"*","*","*","*"
"Montville School District",179,"*","*","*","*"
"Naugatuck School District",337,17,5.0,32,9.5
"New Britain School District",660,72,10.9,135,20.5
"New Canaan School District",307,"*","*","*","*"
"New Fairfield School District",264,"*","*","*","*"
"New Haven School District",1485,119,8.0,251,16.9
"New London School District",202,18,8.9,35,17.3
"New Milford School District",371,13,3.5,23,6.2
"Newington School District",358,9,2.5,17,4.7
"Newtown School District",453,15,3.3,6,1.3
"North Branford School District",166,"*","*","*","*"
"North Haven School District",296,14,4.7,12,4.1
"North Stonington School District",51,"*","*","*","*"
"Norwalk School District",876,25,2.9,66,7.5
"Norwich Free Academy District",590,8,1.4,64,10.8
"Old Saybrook School District",126,"*","*","*","*"
"Oxford School District",125,"*","*","*","*"
"Plainfield School District",168,13,7.7,18,10.7
"Plainville School District",182,"*","*","*","*"
"Plymouth School District",121,"*","*","*","*"
"Portland School District",92,"*","*","*","*"
"Putnam School District",65,"*","*","*","*"
"Regional School District 01",87,"*","*","*","*"
"Regional School District 04",182,"*","*","*","*"
"Regional School District 05",417,7,1.7,8,1.9
"Regional School District 06",87,"*","*","*","*"
"Regional School District 07",143,"*","*","*","*"
"Regional School District 08",269,12,4.5,8,3.0
"Regional School District 09",256,"*","*","*","*"
"Regional School District 10",191,"*","*","*","*"
"Regional School District 11",51,"*","*","*","*"
"Regional School District 12",72,"*","*","*","*"
"Regional School District 13",154,"*","*","*","*"
"Regional School District 14",189,"*","*","*","*"
"Regional School District 15",293,"*","*","*","*"
"Regional School District 16",167,"*","*","*","*"
"Regional School District 17",168,"*","*","*","*"
"Regional School District 18",89,"*","*","*","*"
"Regional School District 19",292,17,5.8,8,2.7
"Ridgefield School District",446,10,2.2,7,1.6
"Rocky Hill School District",196,"*","*","*","*"
"Seymour School District",148,6,4.1,10,6.8
"Shelton School District",370,11,3.0,11,3.0
"Simsbury School District",382,"*","*","*","*"
"Somers School District",130,"*","*","*","*"
"South Windsor School District",355,12,3.4,15,4.2
"Southington School District",519,21,4.0,16,3.1
"Stafford School District",92,"*","*","*","*"
"Stamford Academy District",48,15,31.3,17,35.4
"Stamford School District",1217,66,5.4,85,7.0
"Stonington School District",200,"*","*","*","*"
"Stratford School District",535,21,3.9,24,4.5
"Suffield School District",212,"*","*","*","*"
"The Bridge Academy District",32,"*","*","*","*"
"The Gilbert School District",90,"*","*","*","*"
"Thomaston School District",63,"*","*","*","*"
"Thompson School District",70,"*","*","*","*"
"Tolland School District",212,"*","*","*","*"
"Torrington School District",282,20,7.1,26,9.2
"Trumbull School District",534,"*","*","*","*"
"Unified School District #1",412,72,17.5,330,80.1
"Unified School District #2",42,"*","*",28,66.7
"Vernon School District",244,9,3.7,28,11.5
"Wallingford School District",502,12,2.4,22,4.4
"Waterbury School District",1344,72,5.4,341,25.4
"Waterford School District",216,"*","*","*","*"
"Watertown School District",205,13,6.3,11,5.4
"West Hartford School District",738,28,3.8,22,3.0
"West Haven School District",424,19,4.5,76,17.9
"Westbrook School District",78,"*","*","*","*"
"Weston School District",167,"*","*","*","*"
"Westport School District",462,"*","*","*","*"
"Wethersfield School District",284,15,5.3,11,3.9
"Wilton School District",330,"*","*","*","*"
"Windham School District",130,9,6.9,16,12.3
"Windsor Locks School District",131,8,6.1,9,6.9
"Windsor School District",310,21,6.8,16,5.2
"Wolcott School District",180,"*","*","*","*"
"Woodstock Academy District",286,"*","*","*","*"

