"Four-Year Graduation Rates, 2016-17"
"All Districts, All Students"

"",,,"Non-Graduates",,,
"District","District Code","Four-Year Cohort Count","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Achievement First Hartford Academy Inc. District","=""2880013""",31,"*","*","*","*"
"Amistad Academy District","=""2790013""",43,"*","*","*","*"
"Ansonia School District","=""0020011""",179,12,6.7,17,9.5
"Avon School District","=""0040011""",248,"*","*","*","*"
"Berlin School District","=""0070011""",235,"*","*","*","*"
"Bethel School District","=""0090011""",209,"*","*","*","*"
"Bloomfield School District","=""0110011""",194,21,10.8,6,3.1
"Bolton School District","=""0120011""",69,"*","*","*","*"
"Branford School District","=""0140011""",258,"*","*","*","*"
"Bridgeport Achievement First District","=""2850013""",31,6,19.4,0,0.0
"Bridgeport School District","=""0150011""",1404,126,9.0,232,16.5
"Bristol School District","=""0170011""",633,46,7.3,36,5.7
"Brookfield School District","=""0180011""",229,"*","*","*","*"
"Canton School District","=""0230011""",118,"*","*","*","*"
"Capital Preparatory Harbor School Inc. District","=""2970013""",16,8,"*",0,"*"
"Capitol Region Education Council","=""2410014""",496,17,3.4,21,4.2
"Cheshire School District","=""0250011""",391,"*","*","*","*"
"Clinton School District","=""0270011""",139,"*","*","*","*"
"Colchester School District","=""0280011""",212,10,4.7,8,3.8
"Common Ground High School District","=""2680013""",43,"*","*","*","*"
"Connecticut Technical Education and Career System","=""9000016""",2431,11,0.5,50,2.1
"Coventry School District","=""0320011""",131,"*","*",0,0.0
"Cromwell School District","=""0330011""",144,0,0.0,"*","*"
"Danbury School District","=""0340011""",781,95,12.2,73,9.3
"Darien School District","=""0350011""",328,"*","*","*","*"
"Department of Mental Health and Addiction Services","=""3370015""","*","*","*","*","*"
"Derby School District","=""0370011""",99,7,7.1,7,7.1
"East Granby School District","=""0400011""",58,"*","*",0,0.0
"East Haddam School District","=""0410011""",83,"*","*",0,0.0
"East Hampton School District","=""0420011""",133,"*","*","*","*"
"East Hartford School District","=""0430011""",521,27,5.2,31,6.0
"East Haven School District","=""0440011""",243,31,12.8,26,10.7
"East Lyme School District","=""0450011""",260,"*","*","*","*"
"East Windsor School District","=""0470011""",73,"*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",51,"*","*","*","*"
"Ellington School District","=""0480011""",206,"*","*","*","*"
"Elm City College Preparatory School District","=""2890013""",35,"*","*","*","*"
"Enfield School District","=""0490011""",389,28,7.2,31,8.0
"Explorations District","=""2720013""",22,"*","*","*","*"
"Fairfield School District","=""0510011""",735,22,3.0,9,1.2
"Farmington School District","=""0520011""",305,"*","*","*","*"
"Glastonbury School District","=""0540011""",484,"*","*","*","*"
"Granby School District","=""0560011""",157,"*","*","*","*"
"Greenwich School District","=""0570011""",641,"*","*","*","*"
"Griswold School District","=""0580011""",143,"*","*","*","*"
"Groton School District","=""0590011""",276,11,4.0,31,11.2
"Guilford School District","=""0600011""",262,"*","*","*","*"
"Hamden School District","=""0620011""",442,30,6.8,25,5.7
"Hartford School District","=""0640011""",1544,275,17.8,207,13.4
"Highville Charter School District","=""2860013""",13,"*","*","*","*"
"Jumoke Academy District","=""2610013""",8,"*","*","*","*"
"Killingly School District","=""0690011""",226,16,7.1,18,8.0
"Learn","=""2450014""",190,6,3.2,7,3.7
"Lebanon School District","=""0710011""",89,"*","*","*","*"
"Ledyard School District","=""0720011""",206,"*","*","*","*"
"Litchfield School District","=""0740011""",77,"*","*","*","*"
"Madison School District","=""0760011""",304,7,2.3,0,0.0
"Manchester School District","=""0770011""",429,40,9.3,19,4.4
"Meriden School District","=""0800011""",600,68,11.3,78,13.0
"Middletown School District","=""0830011""",334,13,3.9,13,3.9
"Milford School District","=""0840011""",505,40,7.9,10,2.0
"Monroe School District","=""0850011""",288,"*","*","*","*"
"Montville School District","=""0860011""",154,8,5.2,9,5.8
"Naugatuck School District","=""0880011""",329,23,7.0,27,8.2
"New Britain School District","=""0890011""",667,84,12.6,95,14.2
"New Canaan School District","=""0900011""",328,"*","*",0,0.0
"New Fairfield School District","=""0910011""",232,0,0.0,"*","*"
"New Haven School District","=""0930011""",1516,116,7.7,187,12.3
"New London School District","=""0950011""",226,21,9.3,34,15.0
"New Milford School District","=""0960011""",342,37,10.8,24,7.0
"Newington School District","=""0940011""",317,11,3.5,11,3.5
"Newtown School District","=""0970011""",427,17,4.0,6,1.4
"North Branford School District","=""0990011""",155,"*","*","*","*"
"North Haven School District","=""1010011""",255,"*","*","*","*"
"North Stonington School District","=""1020011""",55,"*","*","*","*"
"Norwalk School District","=""1030011""",866,26,3.0,35,4.0
"Norwich Free Academy District","=""9010022""",637,18,2.8,67,10.5
"Old Saybrook School District","=""1060011""",96,"*","*","*","*"
"Oxford School District","=""1080011""",178,"*","*","*","*"
"Path Academy District","=""2930013""",68,51,75.0,11,16.2
"Plainfield School District","=""1090011""",179,14,7.8,13,7.3
"Plainville School District","=""1100011""",192,7,3.6,12,6.3
"Plymouth School District","=""1110011""",136,10,7.4,8,5.9
"Portland School District","=""1130011""",101,"*","*","*","*"
"Putnam School District","=""1160011""",71,"*","*","*","*"
"Regional School District 01","=""2010012""",115,"*","*","*","*"
"Regional School District 04","=""2040012""",149,0,0.0,0,0.0
"Regional School District 05","=""2050012""",350,"*","*","*","*"
"Regional School District 06","=""2060012""",112,0,0.0,"*","*"
"Regional School District 07","=""2070012""",199,9,4.5,0,0.0
"Regional School District 08","=""2080012""",262,11,4.2,6,2.3
"Regional School District 09","=""2090012""",267,"*","*","*","*"
"Regional School District 10","=""2100012""",200,"*","*","*","*"
"Regional School District 11","=""2110012""",45,"*","*",0,0.0
"Regional School District 12","=""2120012""",49,"*","*",0,0.0
"Regional School District 13","=""2130012""",145,"*","*","*","*"
"Regional School District 14","=""2140012""",172,"*","*","*","*"
"Regional School District 15","=""2150012""",320,13,4.1,8,2.5
"Regional School District 16","=""2160012""",178,8,4.5,12,6.7
"Regional School District 17","=""2170012""",151,"*","*","*","*"
"Regional School District 18","=""2180012""",124,"*","*","*","*"
"Regional School District 19","=""2190012""",292,27,9.2,6,2.1
"Ridgefield School District","=""1180011""",433,12,2.8,6,1.4
"Rocky Hill School District","=""1190011""",176,"*","*","*","*"
"Seymour School District","=""1240011""",163,"*","*","*","*"
"Shelton School District","=""1260011""",397,20,5.0,10,2.5
"Simsbury School District","=""1280011""",384,"*","*","*","*"
"Somers School District","=""1290011""",109,0,0.0,"*","*"
"South Windsor School District","=""1320011""",341,10,2.9,7,2.1
"Southington School District","=""1310011""",489,19,3.9,7,1.4
"Stafford School District","=""1340011""",123,"*","*","*","*"
"Stamford Academy District","=""2820013""",68,33,48.5,14,20.6
"Stamford School District","=""1350011""",1200,47,3.9,57,4.8
"Stonington School District","=""1370011""",183,10,5.5,9,4.9
"Stratford School District","=""1380011""",517,27,5.2,31,6.0
"Suffield School District","=""1390011""",186,"*","*","*","*"
"The Bridge Academy District","=""2690013""",33,"*","*",0,0.0
"The Gilbert School District","=""9020022""",108,"*","*","*","*"
"Thomaston School District","=""1400011""",63,"*","*","*","*"
"Thompson School District","=""1410011""",57,"*","*","*","*"
"Tolland School District","=""1420011""",209,6,2.9,6,2.9
"Torrington School District","=""1430011""",243,41,16.9,31,12.8
"Trumbull School District","=""1440011""",497,"*","*","*","*"
"Unified School District #1","=""3360015""",390,"*","*",325,83.3
"Unified School District #2","=""3470015""",28,8,28.6,12,42.9
"Vernon School District","=""1460011""",238,19,8.0,37,15.5
"Wallingford School District","=""1480011""",485,21,4.3,17,3.5
"Waterbury School District","=""1510011""",1317,62,4.7,259,19.7
"Waterford School District","=""1520011""",220,"*","*","*","*"
"Watertown School District","=""1530011""",216,10,4.6,8,3.7
"West Hartford School District","=""1550011""",775,39,5.0,14,1.8
"West Haven School District","=""1560011""",420,35,8.3,69,16.4
"Westbrook School District","=""1540011""",74,"*","*","*","*"
"Weston School District","=""1570011""",206,"*","*",0,0.0
"Westport School District","=""1580011""",433,"*","*","*","*"
"Wethersfield School District","=""1590011""",279,14,5.0,9,3.2
"Wilton School District","=""1610011""",336,9,2.7,0,0.0
"Windham School District","=""1630011""",150,15,10.0,14,9.3
"Windsor Locks School District","=""1650011""",120,12,10.0,9,7.5
"Windsor School District","=""1640011""",293,33,11.3,13,4.4
"Wolcott School District","=""1660011""",194,"*","*","*","*"
"Woodstock Academy District","=""9030022""",270,6,2.2,9,3.3

