"Four-Year Graduation Rates, 2011-12"
"All Districts, All Students"

"",,"Non-Graduates",,,
"District","Four-Year Cohort Count","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District",21,"*","*","*","*"
"Ansonia School District",205,12,5.9,37,18.0
"Avon School District",285,"*","*","*","*"
"Berlin School District",263,6,2.3,8,3.0
"Bethel School District",239,"*","*","*","*"
"Bloomfield School District",196,29,14.8,14,7.1
"Bolton School District",73,"*","*","*","*"
"Branford School District",258,8,3.1,10,3.9
"Bridgeport School District",1273,118,9.3,310,24.4
"Bristol School District",631,41,6.5,53,8.4
"Brookfield School District",254,"*","*","*","*"
"Canton School District",119,"*","*","*","*"
"Capitol Region Education Council",335,21,6.3,48,14.3
"Cheshire School District",411,10,2.4,7,1.7
"Clinton School District",123,"*","*","*","*"
"Colchester School District",246,"*","*","*","*"
"Common Ground High School District",31,"*","*","*","*"
"Connecticut Technical High School System",2531,7,0.3,96,3.8
"Coventry School District",153,10,6.5,11,7.2
"Cromwell School District",152,7,4.6,6,3.9
"Danbury School District",757,92,12.2,84,11.1
"Darien School District",311,"*","*","*","*"
"Derby School District",106,10,9.4,16,15.1
"East Granby School District",61,"*","*","*","*"
"East Haddam School District",102,"*","*","*","*"
"East Hampton School District",165,"*","*","*","*"
"East Hartford School District",591,57,9.6,81,13.7
"East Haven School District",230,19,8.3,45,19.6
"East Lyme School District",303,7,2.3,10,3.3
"East Windsor School District",89,6,6.7,6,6.7
"Eastern Connecticut Regional Educational Service Center (EASTCONN)",86,"*","*","*","*"
"Ellington School District",203,9,4.4,11,5.4
"Elm City College Preparatory School District",19,"*","*","*","*"
"Enfield School District",512,30,5.9,46,9.0
"Explorations District",28,"*","*","*","*"
"Fairfield School District",690,22,3.2,18,2.6
"Farmington School District",304,12,3.9,6,2.0
"Glastonbury School District",512,12,2.3,9,1.8
"Granby School District",189,"*","*","*","*"
"Greenwich School District",646,28,4.3,22,3.4
"Griswold School District",184,"*","*","*","*"
"Groton School District",345,13,3.8,50,14.5
"Guilford School District",287,"*","*","*","*"
"Hamden School District",523,37,7.1,45,8.6
"Hartford School District",1396,244,17.5,250,17.9
"Killingly School District",191,15,7.9,29,15.2
"Lebanon School District",132,"*","*","*","*"
"Ledyard School District",212,"*","*","*","*"
"Lisbon School District","*","*","*","*","*"
"Litchfield School District",103,"*","*","*","*"
"Madison School District",335,"*","*","*","*"
"Manchester School District",518,50,9.7,89,17.2
"Meriden School District",627,51,8.1,140,22.3
"Middletown School District",347,33,9.5,50,14.4
"Milford School District",515,46,8.9,26,5.0
"Monroe School District",339,"*","*","*","*"
"Montville School District",223,"*","*","*","*"
"Naugatuck School District",368,16,4.3,42,11.4
"New Britain School District",664,92,13.9,170,25.6
"New Canaan School District",329,"*","*","*","*"
"New Fairfield School District",232,"*","*","*","*"
"New Haven School District",1332,112,8.4,276,20.7
"New London School District",239,37,15.5,54,22.6
"New Milford School District",390,16,4.1,22,5.6
"Newington School District",338,17,5.0,20,5.9
"Newtown School District",406,9,2.2,12,3.0
"North Branford School District",162,"*","*","*","*"
"North Haven School District",292,11,3.8,11,3.8
"North Stonington School District",54,"*","*","*","*"
"Norwalk School District",873,36,4.1,96,11.0
"Norwich Free Academy District",645,8,1.2,81,12.6
"Norwich School District",67,18,26.9,34,50.7
"Old Saybrook School District",144,"*","*","*","*"
"Oxford School District",146,"*","*","*","*"
"Plainfield School District",203,13,6.4,17,8.4
"Plainville School District",207,6,2.9,9,4.3
"Plymouth School District",139,11,7.9,11,7.9
"Portland School District",92,"*","*","*","*"
"Putnam School District",65,"*","*","*","*"
"Regional School District 01",140,"*","*","*","*"
"Regional School District 04",160,"*","*","*","*"
"Regional School District 05",434,"*","*","*","*"
"Regional School District 06",87,"*","*","*","*"
"Regional School District 07",205,8,3.9,6,2.9
"Regional School District 08",296,15,5.1,13,4.4
"Regional School District 09",238,"*","*","*","*"
"Regional School District 10",230,"*","*","*","*"
"Regional School District 11",42,"*","*","*","*"
"Regional School District 12",74,"*","*","*","*"
"Regional School District 13",142,"*","*","*","*"
"Regional School District 14",195,"*","*","*","*"
"Regional School District 15",329,13,4.0,8,2.4
"Regional School District 16",197,6,3.0,10,5.1
"Regional School District 17",190,"*","*","*","*"
"Regional School District 18",104,"*","*","*","*"
"Regional School District 19",298,20,6.7,18,6.0
"Ridgefield School District",443,"*","*","*","*"
"Rocky Hill School District",208,8,3.8,9,4.3
"Seymour School District",154,10,6.5,10,6.5
"Shelton School District",428,15,3.5,22,5.1
"Simsbury School District",407,"*","*","*","*"
"Somers School District",142,"*","*","*","*"
"South Windsor School District",386,17,4.4,7,1.8
"Southington School District",498,29,5.8,13,2.6
"Stafford School District",142,"*","*","*","*"
"Stamford Academy District",36,12,33.3,8,22.2
"Stamford School District",1186,69,5.8,106,8.9
"Stonington School District",182,"*","*","*","*"
"Stratford School District",585,29,5.0,50,8.5
"Suffield School District",207,6,2.9,13,6.3
"The Bridge Academy District",42,"*","*","*","*"
"The Gilbert School District",91,"*","*","*","*"
"Thomaston School District",92,"*","*","*","*"
"Thompson School District",101,"*","*","*","*"
"Tolland School District",230,"*","*","*","*"
"Torrington School District",301,16,5.3,45,15.0
"Trumbull School District",543,6,1.1,9,1.7
"Unified School District #1",531,149,28.1,373,70.2
"Unified School District #2",59,8,13.6,39,66.1
"Vernon School District",266,16,6.0,32,12.0
"Wallingford School District",537,17,3.2,24,4.5
"Waterbury School District",1276,72,5.6,405,31.7
"Waterford School District",241,7,2.9,13,5.4
"Watertown School District",232,11,4.7,10,4.3
"West Hartford School District",753,28,3.7,27,3.6
"West Haven School District",391,17,4.3,92,23.5
"Westbrook School District",82,"*","*","*","*"
"Weston School District",191,"*","*","*","*"
"Westport School District",429,"*","*","*","*"
"Wethersfield School District",292,12,4.1,16,5.5
"Wilton School District",313,"*","*","*","*"
"Windham School District",181,19,10.5,35,19.3
"Windsor Locks School District",148,"*","*","*","*"
"Windsor School District",321,20,6.2,28,8.7
"Wolcott School District",219,7,3.2,7,3.2
"Woodstock Academy District",285,"*","*","*","*"

