"Four-Year Graduation Rates, 2015-16"
"All Districts, All Students"

"",,,"Non-Graduates",,,
"District","District Code","Four-Year Cohort Count","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Achievement First Hartford Academy Inc. District","=""2880013""",35,"*","*",0,0.0
"Amistad Academy District","=""2790013""",30,"*","*","*","*"
"Ansonia School District","=""0020011""",138,12,8.7,14,10.1
"Avon School District","=""0040011""",240,"*","*","*","*"
"Berlin School District","=""0070011""",249,7,2.8,6,2.4
"Bethel School District","=""0090011""",251,8,3.2,6,2.4
"Bloomfield School District","=""0110011""",156,6,3.8,8,5.1
"Bolton School District","=""0120011""",85,"*","*","*","*"
"Branford School District","=""0140011""",256,8,3.1,8,3.1
"Bridgeport Achievement First District","=""2850013""",30,"*","*","*","*"
"Bridgeport School District","=""0150011""",1387,167,12.0,292,21.1
"Bristol School District","=""0170011""",659,52,7.9,59,9.0
"Brookfield School District","=""0180011""",215,"*","*","*","*"
"Canton School District","=""0230011""",106,"*","*","*","*"
"Capital Preparatory Harbor School Inc. District","=""2970013""",8,"*","*",0,"*"
"Capitol Region Education Council","=""2410014""",425,12,2.8,17,4.0
"Cheshire School District","=""0250011""",387,"*","*","*","*"
"Clinton School District","=""0270011""",140,7,5.0,10,7.1
"Colchester School District","=""0280011""",214,"*","*","*","*"
"Common Ground High School District","=""2680013""",34,"*","*","*","*"
"Connecticut Technical High School System","=""9000016""",2471,7,0.3,64,2.6
"Coventry School District","=""0320011""",130,7,5.4,6,4.6
"Cromwell School District","=""0330011""",143,"*","*","*","*"
"Danbury School District","=""0340011""",766,90,11.7,84,11.0
"Darien School District","=""0350011""",332,"*","*",0,0.0
"Department of Mental Health and Addiction Services","=""3370015""","*","*","*","*","*"
"Derby School District","=""0370011""",97,8,8.2,15,15.5
"East Granby School District","=""0400011""",72,"*","*",0,0.0
"East Haddam School District","=""0410011""",80,"*","*","*","*"
"East Hampton School District","=""0420011""",151,"*","*","*","*"
"East Hartford School District","=""0430011""",543,30,5.5,31,5.7
"East Haven School District","=""0440011""",240,25,10.4,37,15.4
"East Lyme School District","=""0450011""",259,11,4.2,7,2.7
"East Windsor School District","=""0470011""",78,"*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",73,"*","*","*","*"
"Ellington School District","=""0480011""",187,"*","*","*","*"
"Elm City College Preparatory School District","=""2890013""",17,"*","*","*","*"
"Enfield School District","=""0490011""",447,28,6.3,41,9.2
"Explorations District","=""2720013""",27,"*","*","*","*"
"Fairfield School District","=""0510011""",760,31,4.1,9,1.2
"Farmington School District","=""0520011""",338,"*","*","*","*"
"Glastonbury School District","=""0540011""",537,"*","*","*","*"
"Granby School District","=""0560011""",194,"*","*","*","*"
"Greenwich School District","=""0570011""",634,30,4.7,6,0.9
"Griswold School District","=""0580011""",150,7,4.7,13,8.7
"Groton School District","=""0590011""",266,10,3.8,27,10.2
"Guilford School District","=""0600011""",251,"*","*","*","*"
"Hamden School District","=""0620011""",465,32,6.9,26,5.6
"Hartford School District","=""0640011""",1515,197,13.0,242,16.0
"Jumoke Academy District","=""2610013""",7,"*","*",0,"*"
"Killingly School District","=""0690011""",210,24,11.4,19,9.0
"Learn","=""2450014""",193,"*","*","*","*"
"Lebanon School District","=""0710011""",102,"*","*","*","*"
"Ledyard School District","=""0720011""",232,9,3.9,10,4.3
"Litchfield School District","=""0740011""",85,"*","*",0,0.0
"Madison School District","=""0760011""",302,"*","*","*","*"
"Manchester School District","=""0770011""",407,38,9.3,31,7.6
"Meriden School District","=""0800011""",611,75,12.3,111,18.2
"Middletown School District","=""0830011""",334,24,7.2,20,6.0
"Milford School District","=""0840011""",482,28,5.8,9,1.9
"Monroe School District","=""0850011""",290,"*","*","*","*"
"Montville School District","=""0860011""",180,"*","*","*","*"
"Naugatuck School District","=""0880011""",310,16,5.2,30,9.7
"New Britain School District","=""0890011""",645,84,13.0,107,16.6
"New Canaan School District","=""0900011""",280,"*","*",0,0.0
"New Fairfield School District","=""0910011""",243,"*","*","*","*"
"New Haven School District","=""0930011""",1447,123,8.5,200,13.8
"New London School District","=""0950011""",243,26,10.7,37,15.2
"New Milford School District","=""0960011""",342,10,2.9,19,5.6
"Newington School District","=""0940011""",310,15,4.8,8,2.6
"Newtown School District","=""0970011""",424,11,2.6,7,1.7
"North Branford School District","=""0990011""",144,"*","*","*","*"
"North Haven School District","=""1010011""",266,"*","*","*","*"
"North Stonington School District","=""1020011""",49,"*","*","*","*"
"Norwalk School District","=""1030011""",813,38,4.7,39,4.8
"Norwich Free Academy District","=""9010022""",578,22,3.8,76,13.1
"Old Saybrook School District","=""1060011""",135,"*","*","*","*"
"Oxford School District","=""1080011""",143,"*","*","*","*"
"Path Academy District","=""2930013""",38,27,71.1,"*","*"
"Plainfield School District","=""1090011""",197,11,5.6,24,12.2
"Plainville School District","=""1100011""",201,7,3.5,11,5.5
"Plymouth School District","=""1110011""",106,"*","*","*","*"
"Portland School District","=""1130011""",89,"*","*","*","*"
"Putnam School District","=""1160011""",72,"*","*","*","*"
"Regional School District 01","=""2010012""",100,"*","*","*","*"
"Regional School District 04","=""2040012""",150,"*","*","*","*"
"Regional School District 05","=""2050012""",397,9,2.3,12,3.0
"Regional School District 06","=""2060012""",102,"*","*",0,0.0
"Regional School District 07","=""2070012""",191,"*","*","*","*"
"Regional School District 08","=""2080012""",261,8,3.1,12,4.6
"Regional School District 09","=""2090012""",254,"*","*","*","*"
"Regional School District 10","=""2100012""",196,"*","*","*","*"
"Regional School District 11","=""2110012""",33,"*","*","*","*"
"Regional School District 12","=""2120012""",78,"*","*","*","*"
"Regional School District 13","=""2130012""",149,"*","*","*","*"
"Regional School District 14","=""2140012""",185,"*","*","*","*"
"Regional School District 15","=""2150012""",289,"*","*","*","*"
"Regional School District 16","=""2160012""",186,"*","*","*","*"
"Regional School District 17","=""2170012""",149,"*","*","*","*"
"Regional School District 18","=""2180012""",103,"*","*","*","*"
"Regional School District 19","=""2190012""",288,15,5.2,8,2.8
"Ridgefield School District","=""1180011""",430,"*","*","*","*"
"Rocky Hill School District","=""1190011""",183,"*","*","*","*"
"Seymour School District","=""1240011""",166,"*","*","*","*"
"Shelton School District","=""1260011""",416,20,4.8,14,3.4
"Simsbury School District","=""1280011""",366,"*","*","*","*"
"Somers School District","=""1290011""",125,"*","*","*","*"
"South Windsor School District","=""1320011""",325,8,2.5,12,3.7
"Southington School District","=""1310011""",498,22,4.4,10,2.0
"Stafford School District","=""1340011""",114,"*","*","*","*"
"Stamford Academy District","=""2820013""",53,21,39.6,17,32.1
"Stamford School District","=""1350011""",1191,55,4.6,81,6.8
"Stonington School District","=""1370011""",194,"*","*","*","*"
"Stratford School District","=""1380011""",587,35,6.0,22,3.7
"Suffield School District","=""1390011""",210,"*","*","*","*"
"The Bridge Academy District","=""2690013""",34,"*","*","*","*"
"The Gilbert School District","=""9020022""",101,7,6.9,9,8.9
"Thomaston School District","=""1400011""",52,0,0.0,0,0.0
"Thompson School District","=""1410011""",74,"*","*",0,0.0
"Tolland School District","=""1420011""",217,"*","*","*","*"
"Torrington School District","=""1430011""",289,23,8.0,29,10.0
"Trumbull School District","=""1440011""",536,"*","*","*","*"
"Unified School District #1","=""3360015""",341,76,22.3,259,76.0
"Unified School District #2","=""3470015""",49,7,14.3,28,57.1
"Vernon School District","=""1460011""",208,19,9.1,31,14.9
"Wallingford School District","=""1480011""",557,23,4.1,25,4.5
"Waterbury School District","=""1510011""",1282,64,5.0,278,21.7
"Waterford School District","=""1520011""",187,"*","*","*","*"
"Watertown School District","=""1530011""",227,"*","*","*","*"
"West Hartford School District","=""1550011""",775,34,4.4,13,1.7
"West Haven School District","=""1560011""",465,31,6.7,73,15.7
"Westbrook School District","=""1540011""",63,"*","*","*","*"
"Weston School District","=""1570011""",204,0,0.0,"*","*"
"Westport School District","=""1580011""",480,"*","*","*","*"
"Wethersfield School District","=""1590011""",311,13,4.2,7,2.3
"Wilton School District","=""1610011""",342,10,2.9,0,0.0
"Windham School District","=""1630011""",150,17,11.3,14,9.3
"Windsor Locks School District","=""1650011""",144,13,9.0,6,4.2
"Windsor School District","=""1640011""",275,22,8.0,16,5.8
"Wolcott School District","=""1660011""",219,"*","*","*","*"
"Woodstock Academy District","=""9030022""",244,"*","*","*","*"

