"Four-Year Graduation Rates, 2014-15"
"All Districts, All Students"

"",,"Graduates",,"Non-Graduates",,,
"District","Four-Year Cohort Count","Graduation Count","Graduation Rate","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District",29,24,82.8,"*","*","*","*"
"Ansonia School District",172,144,83.7,17,9.9,11,6.4
"Avon School District",248,238,96.0,"*","*","*","*"
"Berlin School District",210,197,93.8,7,3.3,6,2.9
"Bethel School District",218,209,95.9,"*","*","*","*"
"Bloomfield School District",176,154,87.5,12,6.8,10,5.7
"Bolton School District",76,73,96.1,"*","*","*","*"
"Branford School District",253,228,90.1,11,4.3,14,5.5
"Bridgeport Achievement First District",31,29,93.5,"*","*","*","*"
"Bridgeport School District",1188,755,63.6,140,11.8,293,24.7
"Bristol School District",647,526,81.3,40,6.2,81,12.5
"Brookfield School District",235,224,95.3,"*","*","*","*"
"Canton School District",132,126,95.5,"*","*","*","*"
"Capitol Region Education Council",323,292,90.4,14,4.3,17,5.3
"Cheshire School District",392,381,97.2,"*","*","*","*"
"Clinton School District",162,146,90.1,"*","*","*","*"
"Colchester School District",228,210,92.1,9,3.9,9,3.9
"Common Ground High School District",37,37,100.0,"*","*","*","*"
"Connecticut Technical High School System",2468,2404,97.4,9,0.4,55,2.2
"Coventry School District",117,109,93.2,"*","*","*","*"
"Cromwell School District",128,123,96.1,"*","*","*","*"
"Danbury School District",772,595,77.1,80,10.4,97,12.6
"Darien School District",334,323,96.7,"*","*","*","*"
"Derby School District",102,85,83.3,8,7.8,9,8.8
"East Granby School District",61,61,100.0,"*","*","*","*"
"East Haddam School District",113,102,90.3,"*","*","*","*"
"East Hampton School District",127,120,94.5,"*","*","*","*"
"East Hartford School District",566,498,88.0,26,4.6,42,7.4
"East Haven School District",244,184,75.4,11,4.5,49,20.1
"East Lyme School District",274,260,94.9,8,2.9,6,2.2
"East Windsor School District",90,78,86.7,"*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)",72,54,75.0,7,9.7,11,15.3
"Ellington School District",206,200,97.1,"*","*","*","*"
"Elm City College Preparatory School District",14,10,71.4,"*","*","*","*"
"Enfield School District",392,340,86.7,15,3.8,37,9.4
"Explorations District",23,20,87.0,"*","*","*","*"
"Fairfield School District",717,675,94.1,24,3.3,17,2.4
"Farmington School District",335,321,95.8,8,2.4,6,1.8
"Glastonbury School District",524,512,97.7,"*","*","*","*"
"Granby School District",165,161,97.6,"*","*","*","*"
"Greenwich School District",647,616,95.2,24,3.7,7,1.1
"Griswold School District",148,131,88.5,7,4.7,10,6.8
"Groton School District",272,238,87.5,9,3.3,25,9.2
"Guilford School District",274,260,94.9,7,2.6,7,2.6
"Hamden School District",465,411,88.4,23,4.9,31,6.7
"Hartford School District",1484,1041,70.1,172,11.6,271,18.3
"Killingly School District",203,156,76.8,21,10.3,26,12.8
"Learn",176,157,89.2,"*","*","*","*"
"Lebanon School District",95,90,94.7,"*","*","*","*"
