"Four-Year Graduation Rates, 2010-11"
"All Districts, All Students"

"",,"Non-Graduates",,,
"District","Four-Year Cohort Count","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District",29,"*","*","*","*"
"Ansonia School District",188,23,12.2,35,18.6
"Avon School District",254,"*","*","*","*"
"Berlin School District",261,"*","*","*","*"
"Bethel School District",250,"*","*","*","*"
"Bloomfield School District",187,27,14.4,21,11.2
"Bolton School District",74,"*","*","*","*"
"Branford School District",284,8,2.8,10,3.5
"Bridgeport School District",1437,189,13.2,379,26.4
"Bristol School District",709,68,9.6,97,13.7
"Brookfield School District",265,6,2.3,8,3.0
"Canton School District",120,"*","*","*","*"
"Capitol Region Education Council",299,16,5.4,33,11.0
"Cheshire School District",375,13,3.5,6,1.6
"Clinton School District",145,"*","*","*","*"
"Colchester School District",250,12,4.8,6,2.4
"Common Ground High School District",38,"*","*","*","*"
"Connecticut Technical High School System",2343,12,0.5,142,6.1
"Coventry School District",153,8,5.2,7,4.6
"Cromwell School District",170,"*","*","*","*"
"Danbury School District",758,75,9.9,98,12.9
"Darien School District",327,7,2.1,7,2.1
"Derby School District",125,16,12.8,20,16.0
"East Granby School District",76,"*","*","*","*"
"East Haddam School District",97,"*","*","*","*"
"East Hampton School District",139,"*","*","*","*"
"East Hartford School District",598,52,8.7,70,11.7
"East Haven School District",300,16,5.3,29,9.7
"East Lyme School District",325,"*","*","*","*"
"East Windsor School District",93,8,8.6,9,9.7
"Eastern Connecticut Regional Educational Service Center (EASTCONN)",59,"*","*","*","*"
"Ellington School District",182,"*","*","*","*"
"Enfield School District",525,46,8.8,52,9.9
"Explorations District",34,8,23.5,8,23.5
"Fairfield School District",656,26,4.0,18,2.7
"Farmington School District",338,"*","*","*","*"
"Glastonbury School District",551,11,2.0,8,1.5
"Granby School District",194,"*","*","*","*"
"Greenwich School District",632,26,4.1,9,1.4
"Griswold School District",200,14,7.0,24,12.0
"Groton School District",336,11,3.3,54,16.1
"Guilford School District",271,"*","*","*","*"
"Hamden School District",586,43,7.3,55,9.4
"Hartford School District",1603,183,11.4,406,25.3
"Killingly School District",198,13,6.6,45,22.7
"Lebanon School District",160,"*","*","*","*"
"Ledyard School District",235,10,4.3,14,6.0
"Lisbon School District","*","*","*","*","*"
"Litchfield School District",95,"*","*","*","*"
"Madison School District",317,"*","*","*","*"
"Manchester School District",534,60,11.2,94,17.6
"Meriden School District",630,54,8.6,136,21.6
"Middletown School District",350,37,10.6,44,12.6
"Milford School District",492,40,8.1,20,4.1
"Monroe School District",367,"*","*","*","*"
"Montville School District",205,8,3.9,23,11.2
"Naugatuck School District",370,22,5.9,42,11.4
"New Britain School District",758,145,19.1,224,29.6
"New Canaan School District",311,"*","*","*","*"
"New Fairfield School District",241,12,5.0,9,3.7
"New Haven School District",1450,159,11.0,364,25.1
"New London School District",262,48,18.3,50,19.1
"New Milford School District",403,16,4.0,36,8.9
"Newington School District",413,41,9.9,26,6.3
"Newtown School District",446,11,2.5,17,3.8
"North Branford School District",195,"*","*","*","*"
"North Haven School District",306,14,4.6,24,7.8
"North Stonington School District",67,"*","*","*","*"
"Norwalk School District",899,58,6.5,84,9.3
"Norwich Free Academy District",637,24,3.8,95,14.9
"Norwich School District",29,9,31.0,13,44.8
"Old Saybrook School District",123,"*","*","*","*"
"Oxford School District",155,"*","*","*","*"
"Plainfield School District",230,13,5.7,20,8.7
"Plainville School District",235,7,3.0,21,8.9
"Plymouth School District",140,"*","*","*","*"
"Portland School District",97,"*","*","*","*"
"Putnam School District",75,8,10.7,8,10.7
"Regional School District 01",138,8,5.8,15,10.9
"Regional School District 04",171,"*","*","*","*"
"Regional School District 05",409,14,3.4,17,4.2
"Regional School District 06",104,"*","*","*","*"
"Regional School District 07",208,"*","*","*","*"
"Regional School District 08",267,21,7.9,20,7.5
"Regional School District 09",220,"*","*","*","*"
"Regional School District 10",177,"*","*","*","*"
"Regional School District 11",38,"*","*","*","*"
"Regional School District 12",93,"*","*","*","*"
"Regional School District 13",141,"*","*","*","*"
"Regional School District 14",218,"*","*","*","*"
"Regional School District 15",390,16,4.1,16,4.1
"Regional School District 16",196,11,5.6,12,6.1
"Regional School District 17",181,"*","*","*","*"
"Regional School District 18",135,"*","*","*","*"
"Regional School District 19",284,26,9.2,23,8.1
"Ridgefield School District",434,11,2.5,6,1.4
"Rocky Hill School District",177,"*","*","*","*"
"Seymour School District",189,10,5.3,22,11.6
"Shelton School District",401,25,6.2,24,6.0
"Simsbury School District",358,11,3.1,7,2.0
"Somers School District",145,"*","*","*","*"
"South Windsor School District",425,16,3.8,23,5.4
"Southington School District",547,33,6.0,19,3.5
"Stafford School District",135,16,11.9,17,12.6
"Stamford Academy District",55,23,41.8,12,21.8
"Stamford School District",1189,92,7.7,83,7.0
"Stonington School District",212,7,3.3,7,3.3
"Stratford School District",581,26,4.5,43,7.4
"Suffield School District",215,"*","*","*","*"
"The Bridge Academy District",28,"*","*","*","*"
"The Gilbert School District",75,8,10.7,9,12.0
"Thomaston School District",105,"*","*","*","*"
"Thompson School District",95,"*","*","*","*"
"Tolland School District",224,"*","*","*","*"
"Torrington School District",283,20,7.1,44,15.5
"Trumbull School District",503,"*","*","*","*"
"Unified School District #1",555,174,31.4,362,65.2
"Unified School District #2",50,20,40.0,15,30.0
"Vernon School District",290,19,6.6,34,11.7
"Wallingford School District",561,29,5.2,44,7.8
"Waterbury School District",1309,63,4.8,386,29.5
"Waterford School District",272,7,2.6,17,6.3
"Watertown School District",248,17,6.9,14,5.6
"West Hartford School District",829,40,4.8,40,4.8
"West Haven School District",460,32,7.0,115,25.0
"Westbrook School District",75,"*","*","*","*"
"Weston School District",195,"*","*","*","*"
"Westport School District",475,10,2.1,6,1.3
"Wethersfield School District",305,12,3.9,15,4.9
"Wilton School District",306,"*","*","*","*"
"Windham School District",267,46,17.2,58,21.7
"Windsor Locks School District",135,12,8.9,8,5.9
"Windsor School District",353,28,7.9,32,9.1
"Wolcott School District",226,8,3.5,9,4.0
"Woodstock Academy District",299,"*","*","*","*"

