"Four-Year Graduation Rates, 2015-16"
"All Districts, All Students"

"",,,"Graduates",
"District","District Code","Four-Year Cohort Count","Graduation Count","Graduation Rate"
"Achievement First Hartford Academy Inc. District","=""2880013""",35,"*","*"
"Amistad Academy District","=""2790013""",30,27,90.0
"Ansonia School District","=""0020011""",138,112,81.2
"Avon School District","=""0040011""",240,233,97.1
"Berlin School District","=""0070011""",249,236,94.8
"Bethel School District","=""0090011""",251,237,94.4
"Bloomfield School District","=""0110011""",156,142,91.0
"Bolton School District","=""0120011""",85,78,91.8
"Branford School District","=""0140011""",256,240,93.8
"Bridgeport Achievement First District","=""2850013""",30,24,80.0
"Bridgeport School District","=""0150011""",1387,922,66.5
"Bristol School District","=""0170011""",659,548,83.2
"Brookfield School District","=""0180011""",215,208,96.7
"Canton School District","=""0230011""",106,102,96.2
"Capital Preparatory Harbor School Inc. District","=""2970013""",8,"*","*"
"Capitol Region Education Council","=""2410014""",425,393,92.5
"Cheshire School District","=""0250011""",387,371,95.9
"Clinton School District","=""0270011""",140,123,87.9
"Colchester School District","=""0280011""",214,202,94.4
"Common Ground High School District","=""2680013""",34,31,91.2
"Connecticut Technical High School System","=""9000016""",2471,2400,97.1
"Coventry School District","=""0320011""",130,117,90.0
"Cromwell School District","=""0330011""",143,133,93.0
"Danbury School District","=""0340011""",766,590,77.0
"Darien School District","=""0350011""",332,"*","*"
"Department of Mental Health and Addiction Services","=""3370015""","*","*","*"
"Derby School District","=""0370011""",97,74,76.3
"East Granby School District","=""0400011""",72,"*","*"
"East Haddam School District","=""0410011""",80,76,95.0
"East Hampton School District","=""0420011""",151,143,94.7
"East Hartford School District","=""0430011""",543,481,88.6
"East Haven School District","=""0440011""",240,177,73.8
"East Lyme School District","=""0450011""",259,241,93.1
"East Windsor School District","=""0470011""",78,68,87.2
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",73,60,82.2
"Ellington School District","=""0480011""",187,181,96.8
"Elm City College Preparatory School District","=""2890013""",17,15,"*"
"Enfield School District","=""0490011""",447,378,84.6
"Explorations District","=""2720013""",27,20,74.1
"Fairfield School District","=""0510011""",760,719,94.6
"Farmington School District","=""0520011""",338,323,95.6
"Glastonbury School District","=""0540011""",537,521,97.0
"Granby School District","=""0560011""",194,191,98.5
"Greenwich School District","=""0570011""",634,598,94.3
"Griswold School District","=""0580011""",150,130,86.7
"Groton School District","=""0590011""",266,229,86.1
"Guilford School District","=""0600011""",251,234,93.2
"Hamden School District","=""0620011""",465,407,87.5
"Hartford School District","=""0640011""",1515,1071,70.7
"Jumoke Academy District","=""2610013""",7,"*","*"
"Killingly School District","=""0690011""",210,167,79.5
"Learn","=""2450014""",193,182,94.3
"Lebanon School District","=""0710011""",102,97,95.1
"Ledyard School District","=""0720011""",232,210,90.5
"Litchfield School District","=""0740011""",85,"*","*"
"Madison School District","=""0760011""",302,295,97.7
"Manchester School District","=""0770011""",407,338,83.0
"Meriden School District","=""0800011""",611,425,69.6
"Middletown School District","=""0830011""",334,289,86.5
"Milford School District","=""0840011""",482,445,92.3
"Monroe School District","=""0850011""",290,287,99.0
"Montville School District","=""0860011""",180,164,91.1
"Naugatuck School District","=""0880011""",310,264,85.2
"New Britain School District","=""0890011""",645,454,70.4
"New Canaan School District","=""0900011""",280,"*","*"
"New Fairfield School District","=""0910011""",243,237,97.5
"New Haven School District","=""0930011""",1447,1122,77.5
"New London School District","=""0950011""",243,180,74.1
"New Milford School District","=""0960011""",342,313,91.5
"Newington School District","=""0940011""",310,287,92.6
"Newtown School District","=""0970011""",424,405,95.5
"North Branford School District","=""0990011""",144,133,92.4
"North Haven School District","=""1010011""",266,250,94.0
"North Stonington School District","=""1020011""",49,42,85.7
"Norwalk School District","=""1030011""",813,735,90.4
"Norwich Free Academy District","=""9010022""",578,480,83.0
"Old Saybrook School District","=""1060011""",135,125,92.6
"Oxford School District","=""1080011""",143,133,93.0
"Path Academy District","=""2930013""",38,"*","*"
"Plainfield School District","=""1090011""",197,162,82.2
"Plainville School District","=""1100011""",201,183,91.0
"Plymouth School District","=""1110011""",106,93,87.7
"Portland School District","=""1130011""",89,85,95.5
"Putnam School District","=""1160011""",72,67,93.1
"Regional School District 01","=""2010012""",100,96,96.0
"Regional School District 04","=""2040012""",150,147,98.0
"Regional School District 05","=""2050012""",397,376,94.7
"Regional School District 06","=""2060012""",102,"*","*"
"Regional School District 07","=""2070012""",191,179,93.7
"Regional School District 08","=""2080012""",261,240,92.0
"Regional School District 09","=""2090012""",254,243,95.7
"Regional School District 10","=""2100012""",196,187,95.4
"Regional School District 11","=""2110012""",33,26,78.8
"Regional School District 12","=""2120012""",78,76,97.4
"Regional School District 13","=""2130012""",149,135,90.6
"Regional School District 14","=""2140012""",185,179,96.8
"Regional School District 15","=""2150012""",289,273,94.5
"Regional School District 16","=""2160012""",186,175,94.1
"Regional School District 17","=""2170012""",149,142,95.3
"Regional School District 18","=""2180012""",103,98,95.1
"Regional School District 19","=""2190012""",288,265,92.0
"Ridgefield School District","=""1180011""",430,417,97.0
"Rocky Hill School District","=""1190011""",183,170,92.9
"Seymour School District","=""1240011""",166,158,95.2
"Shelton School District","=""1260011""",416,381,91.6
"Simsbury School District","=""1280011""",366,348,95.1
"Somers School District","=""1290011""",125,116,92.8
"South Windsor School District","=""1320011""",325,305,93.8
"Southington School District","=""1310011""",498,466,93.6
"Stafford School District","=""1340011""",114,103,90.4
"Stamford Academy District","=""2820013""",53,15,28.3
"Stamford School District","=""1350011""",1191,1054,88.5
"Stonington School District","=""1370011""",194,180,92.8
"Stratford School District","=""1380011""",587,525,89.4
