"Four-Year Graduation Rates, 2013-14"
"All Districts, All Students"

"",,"Non-Graduates",,,
"District","Four-Year Cohort Count","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District",23,"*","*","*","*"
"Ansonia School District",157,10,6.4,27,17.2
"Avon School District",272,"*","*","*","*"
"Berlin School District",235,"*","*","*","*"
"Bethel School District",244,12,4.9,6,2.5
"Bloomfield School District",169,14,8.3,7,4.1
"Bolton School District",103,"*","*","*","*"
"Branford School District",299,10,3.3,17,5.7
"Bridgeport School District",1247,117,9.4,238,19.1
"Bristol School District",699,63,9.0,64,9.2
"Brookfield School District",232,"*","*","*","*"
"Canton School District",136,"*","*","*","*"
"Capitol Region Education Council",317,7,2.2,29,9.1
"Cheshire School District",389,12,3.1,6,1.5
"Clinton School District",133,"*","*","*","*"
"Colchester School District",248,"*","*","*","*"
"Common Ground High School District",29,"*","*","*","*"
"Connecticut Technical High School System",2423,25,1.0,69,2.8
"Coventry School District",133,"*","*","*","*"
"Cromwell School District",134,"*","*","*","*"
"Danbury School District",761,83,10.9,84,11.0
"Darien School District",336,"*","*","*","*"
"Department of Mental Health and Addiction Services","*","*","*","*","*"
"Derby School District",102,10,9.8,9,8.8
"East Granby School District",66,"*","*","*","*"
"East Haddam School District",105,"*","*","*","*"
"East Hampton School District",121,"*","*","*","*"
"East Hartford School District",507,59,11.6,51,10.1
"East Haven School District",260,11,4.2,39,15.0
"East Lyme School District",274,"*","*","*","*"
"East Windsor School District",109,"*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)",66,7,10.6,10,15.2
"Ellington School District",194,"*","*","*","*"
"Elm City College Preparatory School District",24,"*","*","*","*"
"Enfield School District",424,21,5.0,37,8.7
"Explorations District",27,"*","*","*","*"
"Fairfield School District",728,27,3.7,18,2.5
"Farmington School District",344,"*","*","*","*"
"Glastonbury School District",585,17,2.9,6,1.0
"Granby School District",205,"*","*","*","*"
"Greenwich School District",670,25,3.7,8,1.2
"Griswold School District",170,10,5.9,16,9.4
"Groton School District",317,11,3.5,37,11.7
"Guilford School District",286,12,4.2,9,3.1
"Hamden School District",458,34,7.4,16,3.5
"Hartford School District",1370,174,12.7,216,15.8
"Killingly School District",218,19,8.7,23,10.6
"Learn",153,"*","*","*","*"
"Lebanon School District",105,"*","*","*","*"
"Ledyard School District",247,14,5.7,9,3.6
"Lisbon School District","*","*","*","*","*"
"Litchfield School District",69,"*","*","*","*"
"Madison School District",320,"*","*","*","*"
"Manchester School District",454,38,8.4,43,9.5
"Meriden School District",615,50,8.1,97,15.8
"Middletown School District",334,36,10.8,22,6.6
"Milford School District",508,25,4.9,15,3.0
"Monroe School District",300,"*","*","*","*"
"Montville School District",193,7,3.6,15,7.8
"Naugatuck School District",333,23,6.9,37,11.1
"New Britain School District",656,117,17.8,122,18.6
"New Canaan School District",312,"*","*","*","*"
"New Fairfield School District",239,"*","*","*","*"
"New Haven School District",1309,104,7.9,217,16.6
"New London School District",228,23,10.1,43,18.9
"New Milford School District",383,14,3.7,25,6.5
"Newington School District",364,18,4.9,8,2.2
"Newtown School District",423,"*","*","*","*"
"North Branford School District",150,"*","*","*","*"
"North Haven School District",320,17,5.3,20,6.3
"North Stonington School District",56,"*","*","*","*"
"Norwalk School District",822,82,10.0,51,6.2
"Norwich Free Academy District",613,17,2.8,63,10.3
"Old Saybrook School District",137,"*","*","*","*"
"Oxford School District",174,"*","*","*","*"
"Plainfield School District",174,11,6.3,17,9.8
"Plainville School District",176,10,5.7,10,5.7
"Plymouth School District",139,11,7.9,7,5.0
"Portland School District",112,"*","*","*","*"
"Putnam School District",66,"*","*","*","*"
"Regional School District 01",121,6,5.0,7,5.8
"Regional School District 04",136,"*","*","*","*"
"Regional School District 05",420,"*","*","*","*"
"Regional School District 06",93,"*","*","*","*"
"Regional School District 07",211,"*","*","*","*"
"Regional School District 08",297,"*","*","*","*"
"Regional School District 09",252,"*","*","*","*"
"Regional School District 10",218,6,2.8,6,2.8
"Regional School District 11",40,"*","*","*","*"
"Regional School District 12",81,"*","*","*","*"
"Regional School District 13",134,"*","*","*","*"
"Regional School District 14",211,"*","*","*","*"
"Regional School District 15",329,"*","*","*","*"
"Regional School District 16",181,"*","*","*","*"
"Regional School District 17",153,"*","*","*","*"
"Regional School District 18",108,"*","*","*","*"
"Regional School District 19",293,14,4.8,6,2.0
"Ridgefield School District",459,"*","*","*","*"
"Rocky Hill School District",183,"*","*","*","*"
"Seymour School District",138,8,5.8,10,7.2
"Shelton School District",369,17,4.6,15,4.1
"Simsbury School District",400,13,3.3,9,2.3
"Somers School District",131,"*","*","*","*"
"South Windsor School District",348,16,4.6,6,1.7
"Southington School District",512,25,4.9,9,1.8
"Stafford School District",142,"*","*","*","*"
"Stamford Academy District",57,32,56.1,11,19.3
"Stamford School District",1200,73,6.1,60,5.0
"Stonington School District",177,"*","*","*","*"
"Stratford School District",646,31,4.8,21,3.3
"Suffield School District",214,"*","*","*","*"
"The Bridge Academy District",34,"*","*","*","*"
"The Gilbert School District",90,"*","*","*","*"
"Thomaston School District",72,"*","*","*","*"
"Thompson School District",86,"*","*","*","*"
"Tolland School District",229,"*","*","*","*"
"Torrington School District",272,21,7.7,23,8.5
"Trumbull School District",555,15,2.7,7,1.3
"Unified School District #1",327,"*","*",245,74.9
"Unified School District #2",65,13,20.0,34,52.3
"Vernon School District",299,23,7.7,30,10.0
"Wallingford School District",490,18,3.7,24,4.9
"Waterbury School District",1350,78,5.8,356,26.4
"Waterford School District",203,"*","*","*","*"
"Watertown School District",230,11,4.8,8,3.5
"West Hartford School District",741,26,3.5,18,2.4
"West Haven School District",424,40,9.4,72,17.0
"Westbrook School District",72,"*","*","*","*"
"Weston School District",180,"*","*","*","*"
"Westport School District",452,"*","*","*","*"
"Wethersfield School District",307,14,4.6,11,3.6
"Wilton School District",301,"*","*","*","*"
"Windham School District",183,9,4.9,40,21.9
"Windsor Locks School District",138,"*","*","*","*"
"Windsor School District",298,20,6.7,11,3.7
"Wolcott School District",245,"*","*","*","*"
"Woodstock Academy District",278,7,2.5,6,2.2

