"Four-Year Graduation Rates, 2017-18"
"All Districts, All Students"

"",,,"Non-Graduates",,,
"District","District Code","Four-Year Cohort Count","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Achievement First Bridgeport Academy District","=""2850013""",30,6,20.0,"*","*"
"Achievement First Hartford Academy District","=""2880013""",35,"*","*","*","*"
"Amistad Academy District","=""2790013""",44,"*","*",0,0.0
"Ansonia School District","=""0020011""",169,8,4.7,16,9.5
"Avon School District","=""0040011""",282,6,2.1,"*","*"
"Berlin School District","=""0070011""",216,7,3.2,6,2.8
"Bethel School District","=""0090011""",203,10,4.9,"*","*"
"Bloomfield School District","=""0110011""",168,11,6.5,10,6.0
"Bolton School District","=""0120011""",80,"*","*",0,0.0
"Branford School District","=""0140011""",227,9,4.0,"*","*"
"Bridgeport School District","=""0150011""",1446,115,8.0,245,16.9
"Bristol School District","=""0170011""",600,37,6.2,44,7.3
"Brookfield School District","=""0180011""",212,"*","*","*","*"
"Canton School District","=""0230011""",116,"*","*","*","*"
"Capital Preparatory Harbor School District","=""2970013""",32,10,31.3,"*","*"
"Capitol Region Education Council","=""2410014""",534,14,2.6,13,2.4
"Cheshire School District","=""0250011""",351,14,4.0,"*","*"
"Clinton School District","=""0270011""",132,"*","*",11,8.3
"Colchester School District","=""0280011""",222,10,4.5,"*","*"
"Common Ground High School District","=""2680013""",37,"*","*",0,0.0
"Connecticut Technical Education and Career System","=""9000016""",2422,13,0.5,59,2.4
"Coventry School District","=""0320011""",123,"*","*","*","*"
"Cromwell School District","=""0330011""",153,0,0.0,"*","*"
"Danbury School District","=""0340011""",781,67,8.6,82,10.5
"Darien School District","=""0350011""",344,8,2.3,"*","*"
"Department of Mental Health and Addiction Services","=""3370015""","*","*","*","*","*"
"Derby School District","=""0370011""",101,7,6.9,14,13.9
"East Granby School District","=""0400011""",59,"*","*",0,0.0
"East Haddam School District","=""0410011""",84,"*","*","*","*"
"East Hampton School District","=""0420011""",113,"*","*","*","*"
"East Hartford School District","=""0430011""",509,33,6.5,27,5.3
"East Haven School District","=""0440011""",248,15,6.0,24,9.7
"East Lyme School District","=""0450011""",287,6,2.1,7,2.4
"East Windsor School District","=""0470011""",95,"*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",84,"*","*",15,17.9
"Ellington School District","=""0480011""",181,"*","*","*","*"
"Elm City College Preparatory School District","=""2890013""",26,"*","*",0,0.0
"Enfield School District","=""0490011""",404,21,5.2,21,5.2
"Explorations District","=""2720013""",28,0,0.0,"*","*"
"Fairfield School District","=""0510011""",787,20,2.5,8,1.0
"Farmington School District","=""0520011""",297,9,3.0,"*","*"
"Glastonbury School District","=""0540011""",496,15,3.0,"*","*"
"Granby School District","=""0560011""",162,"*","*","*","*"
"Greenwich School District","=""0570011""",621,25,4.0,6,1.0
"Griswold School District","=""0580011""",154,11,7.1,9,5.8
"Groton School District","=""0590011""",276,17,6.2,28,10.1
