"Four-Year Graduation Rates, 2011-12"
"All Districts, All Students"

"",,"Graduates",,"Non-Graduates",,,
"District","Four-Year Cohort Count","Graduation Count","Graduation Rate","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District",21,15,71.4,"*","*","*","*"
"Ansonia School District",205,156,76.1,12,5.9,37,18.0
"Avon School District",285,274,96.1,"*","*","*","*"
"Berlin School District",263,249,94.7,6,2.3,8,3.0
"Bethel School District",239,225,94.1,"*","*","*","*"
"Bloomfield School District",196,153,78.1,29,14.8,14,7.1
"Bolton School District",73,66,90.4,"*","*","*","*"
"Branford School District",258,240,93.0,8,3.1,10,3.9
"Bridgeport School District",1273,844,66.3,118,9.3,310,24.4
"Bristol School District",631,537,85.1,41,6.5,53,8.4
"Brookfield School District",254,247,97.2,"*","*","*","*"
"Canton School District",119,116,97.5,"*","*","*","*"
"Capitol Region Education Council",335,266,79.4,21,6.3,48,14.3
"Cheshire School District",411,394,95.9,10,2.4,7,1.7
"Clinton School District",123,114,92.7,"*","*","*","*"
"Colchester School District",246,233,94.7,"*","*","*","*"
"Common Ground High School District",31,28,90.3,"*","*","*","*"
"Connecticut Technical High School System",2531,2428,95.9,7,0.3,96,3.8
"Coventry School District",153,132,86.3,10,6.5,11,7.2
"Cromwell School District",152,139,91.4,7,4.6,6,3.9
"Danbury School District",757,581,76.8,92,12.2,84,11.1
"Darien School District",311,300,96.5,"*","*","*","*"
"Derby School District",106,80,75.5,10,9.4,16,15.1
"East Granby School District",61,58,95.1,"*","*","*","*"
"East Haddam School District",102,94,92.2,"*","*","*","*"
"East Hampton School District",165,156,94.5,"*","*","*","*"
"East Hartford School District",591,453,76.6,57,9.6,81,13.7
"East Haven School District",230,166,72.2,19,8.3,45,19.6
"East Lyme School District",303,286,94.4,7,2.3,10,3.3
"East Windsor School District",89,77,86.5,6,6.7,6,6.7
"Eastern Connecticut Regional Educational Service Center (EASTCONN)",86,68,79.1,"*","*","*","*"
"Ellington School District",203,183,90.1,9,4.4,11,5.4
"Elm City College Preparatory School District",19,15,78.9,"*","*","*","*"
"Enfield School District",512,436,85.2,30,5.9,46,9.0
"Explorations District",28,16,57.1,"*","*","*","*"
"Fairfield School District",690,650,94.2,22,3.2,18,2.6
"Farmington School District",304,286,94.1,12,3.9,6,2.0
"Glastonbury School District",512,491,95.9,12,2.3,9,1.8
"Granby School District",189,184,97.4,"*","*","*","*"
"Greenwich School District",646,596,92.3,28,4.3,22,3.4
"Griswold School District",184,161,87.5,"*","*","*","*"
"Groton School District",345,282,81.7,13,3.8,50,14.5
"Guilford School District",287,280,97.6,"*","*","*","*"
"Hamden School District",523,441,84.3,37,7.1,45,8.6
