"Four-Year Graduation Rates, 2010-11"
"All Districts, All Students"

"",,"Graduates",,"Non-Graduates",,,
"District","Four-Year Cohort Count","Graduation Count","Graduation Rate","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District",29,17,58.6,"*","*","*","*"
"Ansonia School District",188,130,69.1,23,12.2,35,18.6
"Avon School District",254,243,95.7,"*","*","*","*"
"Berlin School District",261,245,93.9,"*","*","*","*"
"Bethel School District",250,232,92.8,"*","*","*","*"
"Bloomfield School District",187,139,74.3,27,14.4,21,11.2
"Bolton School District",74,70,94.6,"*","*","*","*"
"Branford School District",284,266,93.7,8,2.8,10,3.5
"Bridgeport School District",1437,869,60.5,189,13.2,379,26.4
"Bristol School District",709,544,76.7,68,9.6,97,13.7
"Brookfield School District",265,251,94.7,6,2.3,8,3.0
"Canton School District",120,113,94.2,"*","*","*","*"
"Capitol Region Education Council",299,250,83.6,16,5.4,33,11.0
"Cheshire School District",375,356,94.9,13,3.5,6,1.6
"Clinton School District",145,134,92.4,"*","*","*","*"
"Colchester School District",250,232,92.8,12,4.8,6,2.4
"Common Ground High School District",38,33,86.8,"*","*","*","*"
"Connecticut Technical High School System",2343,2189,93.4,12,0.5,142,6.1
"Coventry School District",153,138,90.2,8,5.2,7,4.6
"Cromwell School District",170,159,93.5,"*","*","*","*"
"Danbury School District",758,585,77.2,75,9.9,98,12.9
"Darien School District",327,313,95.7,7,2.1,7,2.1
"Derby School District",125,89,71.2,16,12.8,20,16.0
"East Granby School District",76,73,96.1,"*","*","*","*"
"East Haddam School District",97,89,91.8,"*","*","*","*"
"East Hampton School District",139,127,91.4,"*","*","*","*"
"East Hartford School District",598,476,79.6,52,8.7,70,11.7
"East Haven School District",300,255,85.0,16,5.3,29,9.7
"East Lyme School District",325,313,96.3,"*","*","*","*"
"East Windsor School District",93,76,81.7,8,8.6,9,9.7
"Eastern Connecticut Regional Educational Service Center (EASTCONN)",59,44,74.6,"*","*","*","*"
"Ellington School District",182,172,94.5,"*","*","*","*"
"Enfield School District",525,427,81.3,46,8.8,52,9.9
"Explorations District",34,18,52.9,8,23.5,8,23.5
"Fairfield School District",656,612,93.3,26,4.0,18,2.7
"Farmington School District",338,320,94.7,"*","*","*","*"
"Glastonbury School District",551,531,96.4,11,2.0,8,1.5
"Granby School District",194,188,96.9,"*","*","*","*"
"Greenwich School District",632,597,94.5,26,4.1,9,1.4
"Griswold School District",200,162,81.0,14,7.0,24,12.0
"Groton School District",336,271,80.7,11,3.3,54,16.1
"Guilford School District",271,256,94.5,"*","*","*","*"
"Hamden School District",586,488,83.3,43,7.3,55,9.4
"Hartford School District",1603,1013,63.2,183,11.4,406,25.3
"Killingly School District",198,140,70.7,13,6.6,45,22.7
"Lebanon School District",160,148,92.5,"*","*","*","*"
"Ledyard School District",235,211,89.8,10,4.3,14,6.0
"Lisbon School District","*","*","*","*","*","*","*"
"Litchfield School District",95,89,93.7,"*","*","*","*"
"Madison School District",317,306,96.5,"*","*","*","*"
"Manchester School District",534,380,71.2,60,11.2,94,17.6
"Meriden School District",630,440,69.8,54,8.6,136,21.6
"Middletown School District",350,269,76.9,37,10.6,44,12.6
"Milford School District",492,432,87.8,40,8.1,20,4.1
"Monroe School District",367,356,97.0,"*","*","*","*"
"Montville School District",205,174,84.9,8,3.9,23,11.2
"Naugatuck School District",370,306,82.7,22,5.9,42,11.4
"New Britain School District",758,389,51.3,145,19.1,224,29.6
"New Canaan School District",311,303,97.4,"*","*","*","*"
"New Fairfield School District",241,219,90.9,12,5.0,9,3.7
"New Haven School District",1450,927,63.9,159,11.0,364,25.1
"New London School District",262,164,62.6,48,18.3,50,19.1
"New Milford School District",403,351,87.1,16,4.0,36,8.9
"Newington School District",413,346,83.8,41,9.9,26,6.3
"Newtown School District",446,418,93.7,11,2.5,17,3.8
"North Branford School District",195,183,93.8,"*","*","*","*"
"North Haven School District",306,268,87.6,14,4.6,24,7.8
"North Stonington School District",67,60,89.6,"*","*","*","*"
"Norwalk School District",899,757,84.2,58,6.5,84,9.3
"Norwich Free Academy District",637,518,81.3,24,3.8,95,14.9
"Norwich School District",29,7,24.1,9,31.0,13,44.8
"Old Saybrook School District",123,114,92.7,"*","*","*","*"
"Oxford School District",155,147,94.8,"*","*","*","*"
"Plainfield School District",230,197,85.7,13,5.7,20,8.7
"Plainville School District",235,207,88.1,7,3.0,21,8.9
"Plymouth School District",140,126,90.0,"*","*","*","*"
"Portland School District",97,81,83.5,"*","*","*","*"
"Putnam School District",75,59,78.7,8,10.7,8,10.7
"Regional School District 01",138,115,83.3,8,5.8,15,10.9
"Regional School District 04",171,151,88.3,"*","*","*","*"
"Regional School District 05",409,378,92.4,14,3.4,17,4.2
"Regional School District 06",104,92,88.5,"*","*","*","*"
"Regional School District 07",208,195,93.8,"*","*","*","*"
"Regional School District 08",267,226,84.6,21,7.9,20,7.5
"Regional School District 09",220,210,95.5,"*","*","*","*"
"Regional School District 10",177,169,95.5,"*","*","*","*"
"Regional School District 11",38,27,71.1,"*","*","*","*"
"Regional School District 12",93,80,86.0,"*","*","*","*"
"Regional School District 13",141,131,92.9,"*","*","*","*"
"Regional School District 14",218,207,95.0,"*","*","*","*"
