"Four-Year Graduation Rates, 2017-18"
"All Districts, All Students"

"",,,"Graduates",
"District","District Code","Four-Year Cohort Count","Graduation Count","Graduation Rate"
"Achievement First Bridgeport Academy District","=""2850013""",30,22,73.3
"Achievement First Hartford Academy District","=""2880013""",35,31,88.6
"Amistad Academy District","=""2790013""",44,42,95.5
"Ansonia School District","=""0020011""",169,145,85.8
"Avon School District","=""0040011""",282,272,96.5
"Berlin School District","=""0070011""",216,203,94.0
"Bethel School District","=""0090011""",203,189,93.1
"Bloomfield School District","=""0110011""",168,147,87.5
"Bolton School District","=""0120011""",80,78,97.5
"Branford School District","=""0140011""",227,212,93.4
"Bridgeport School District","=""0150011""",1446,1086,75.1
"Bristol School District","=""0170011""",600,518,86.3
"Brookfield School District","=""0180011""",212,204,96.2
"Canton School District","=""0230011""",116,110,94.8
"Capital Preparatory Harbor School District","=""2970013""",32,18,56.3
"Capitol Region Education Council","=""2410014""",534,507,94.9
"Cheshire School District","=""0250011""",351,333,94.9
"Clinton School District","=""0270011""",132,120,90.9
"Colchester School District","=""0280011""",222,209,94.1
"Common Ground High School District","=""2680013""",37,34,91.9
"Connecticut Technical Education and Career System","=""9000016""",2422,2350,97.0
"Coventry School District","=""0320011""",123,116,94.3
"Cromwell School District","=""0330011""",153,150,98.0
"Danbury School District","=""0340011""",781,632,80.9
"Darien School District","=""0350011""",344,332,96.5
"Department of Mental Health and Addiction Services","=""3370015""","*","*","*"
"Derby School District","=""0370011""",101,80,79.2
"East Granby School District","=""0400011""",59,56,94.9
"East Haddam School District","=""0410011""",84,78,92.9
"East Hampton School District","=""0420011""",113,107,94.7
"East Hartford School District","=""0430011""",509,449,88.2
"East Haven School District","=""0440011""",248,209,84.3
"East Lyme School District","=""0450011""",287,274,95.5
"East Windsor School District","=""0470011""",95,86,90.5
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",84,64,76.2
"Ellington School District","=""0480011""",181,175,96.7
"Elm City College Preparatory School District","=""2890013""",26,25,96.2
"Enfield School District","=""0490011""",404,362,89.6
"Explorations District","=""2720013""",28,23,82.1
"Fairfield School District","=""0510011""",787,759,96.4
"Farmington School District","=""0520011""",297,284,95.6
"Glastonbury School District","=""0540011""",496,479,96.6
"Granby School District","=""0560011""",162,157,96.9
"Greenwich School District","=""0570011""",621,590,95.0
"Griswold School District","=""0580011""",154,134,87.0
"Groton School District","=""0590011""",276,231,83.7
"Guilford School District","=""0600011""",297,288,97.0
"Hamden School District","=""0620011""",433,375,86.6
"Hartford School District","=""0640011""",1316,931,70.7
"Highville Charter School District","=""2860013""",21,21,100.0
"Jumoke Academy District","=""2610013""",14,"*","*"
"Killingly School District","=""0690011""",200,171,85.5
"Learn","=""2450014""",196,176,89.8
"Lebanon School District","=""0710011""",89,83,93.3
"Ledyard School District","=""0720011""",195,182,93.3
"Litchfield School District","=""0740011""",64,63,98.4
"Madison School District","=""0760011""",292,284,97.3
"Manchester School District","=""0770011""",410,337,82.2
"Meriden School District","=""0800011""",626,492,78.6
"Middletown School District","=""0830011""",329,297,90.3
"Milford School District","=""0840011""",437,407,93.1
"Monroe School District","=""0850011""",307,292,95.1
"Montville School District","=""0860011""",181,165,91.2
"Naugatuck School District","=""0880011""",316,272,86.1
"New Britain School District","=""0890011""",627,459,73.2
"New Canaan School District","=""0900011""",314,308,98.1
"New Fairfield School District","=""0910011""",206,199,96.6
"New Haven School District","=""0930011""",1528,1205,78.9
"New London School District","=""0950011""",261,213,81.6
"New Milford School District","=""0960011""",355,326,91.8
"Newington School District","=""0940011""",303,288,95.0
"Newtown School District","=""0970011""",424,409,96.5
"North Branford School District","=""0990011""",151,142,94.0
"North Haven School District","=""1010011""",253,231,91.3
"North Stonington School District","=""1020011""",45,42,93.3
"Norwalk School District","=""1030011""",893,818,91.6
"Norwich Free Academy District","=""9010022""",599,516,86.1
"Old Saybrook School District","=""1060011""",110,106,96.4
"Oxford School District","=""1080011""",139,132,95.0
"Path Academy District","=""2930013""",47,6,12.8
"Plainfield School District","=""1090011""",172,145,84.3
"Plainville School District","=""1100011""",172,154,89.5
"Plymouth School District","=""1110011""",132,122,92.4
"Portland School District","=""1130011""",85,78,91.8
"Putnam School District","=""1160011""",71,63,88.7
"Regional School District 01","=""2010012""",92,87,94.6
"Regional School District 04","=""2040012""",156,151,96.8
"Regional School District 05","=""2050012""",365,348,95.3
"Regional School District 06","=""2060012""",108,105,97.2
"Regional School District 07","=""2070012""",165,162,98.2
"Regional School District 08","=""2080012""",273,258,94.5
"Regional School District 09","=""2090012""",235,227,96.6
"Regional School District 10","=""2100012""",202,193,95.5
"Regional School District 11","=""2110012""",34,27,79.4
"Regional School District 12","=""2120012""",65,60,92.3
"Regional School District 13","=""2130012""",134,125,93.3
"Regional School District 14","=""2140012""",191,186,97.4
"Regional School District 15","=""2150012""",292,276,94.5
"Regional School District 16","=""2160012""",171,166,97.1
"Regional School District 17","=""2170012""",168,159,94.6
"Regional School District 18","=""2180012""",118,113,95.8
"Regional School District 19","=""2190012""",308,284,92.2
"Ridgefield School District","=""1180011""",427,408,95.6
"Rocky Hill School District","=""1190011""",179,172,96.1
"Seymour School District","=""1240011""",158,148,93.7
"Shelton School District","=""1260011""",359,323,90.0
"Simsbury School District","=""1280011""",344,324,94.2
"Somers School District","=""1290011""",117,113,96.6
"South Windsor School District","=""1320011""",347,328,94.5
"Southington School District","=""1310011""",542,510,94.1
"Stafford School District","=""1340011""",98,89,90.8
"Stamford Academy District","=""2820013""",66,30,45.5
"Stamford School District","=""1350011""",1179,1031,87.4
"Stonington School District","=""1370011""",178,167,93.8
"Stratford School District","=""1380011""",540,498,92.2
"Suffield School District","=""1390011""",191,183,95.8
"The Bridge Academy District","=""2690013""",41,32,78.0
"The Gilbert School District","=""9020022""",92,80,87.0
"The Woodstock Academy District","=""9030022""",253,250,98.8
"Thomaston School District","=""1400011""",58,56,96.6
"Thompson School District","=""1410011""",68,56,82.4
"Tolland School District","=""1420011""",221,208,94.1
"Torrington School District","=""1430011""",239,198,82.8
"Trumbull School District","=""1440011""",570,552,96.8
"Unified School District #1","=""3360015""",433,8,1.8
"Unified School District #2","=""3470015""",25,"*","*"
"Vernon School District","=""1460011""",220,172,78.2
"Wallingford School District","=""1480011""",467,436,93.4
"Waterbury School District","=""1510011""",1343,1030,76.7
"Waterford School District","=""1520011""",208,190,91.3
"Watertown School District","=""1530011""",218,200,91.7
"West Hartford School District","=""1550011""",751,700,93.2
"West Haven School District","=""1560011""",416,342,82.2
"Westbrook School District","=""1540011""",90,83,92.2
"Weston School District","=""1570011""",205,201,98.0
"Westport School District","=""1580011""",456,452,99.1
"Wethersfield School District","=""1590011""",314,295,93.9
"Wilton School District","=""1610011""",329,321,97.6
"Windham School District","=""1630011""",162,138,85.2
"Windsor Locks School District","=""1650011""",122,109,89.3
"Windsor School District","=""1640011""",310,276,89.0
"Wolcott School District","=""1660011""",182,176,96.7

